name,communes,regions,pays,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,timeofday,moonphase,conditions,description,icon,stations
"Saint-Martin-du-Mont, Auvergne-Rhône-Alpes, France",Saint-Martin-du-Mont(Ain),Auvergne-Rhône-Alpes,France,2024-11-15,44.5,35,39.6,44.5,32.3,38.6,36.9,90,0,0,0,,0,0,7.4,4.9,88.2,1026.2,69,9.5,76.8,6.7,4,10,2024-11-15 07:39:59,2024-11-15 17:06:18,9.4,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E4885,LFLB,LFLY,LSGG,LFLL"
"Clacy-et-Thierret, Hauts-de-France, France",Clacy-et-Thierret,Hauts-de-France,France,2024-11-15,50.4,41.3,46.6,50.4,41.3,46.3,43.2,88.2,0,0,0,,0,0,7.6,4.7,47,1027.3,74.9,10.9,73.2,6.3,3,10,2024-11-15 07:57:40,2024-11-15 17:02:37,9.1,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F5929,LFAQ,remote"
"Treban, Auvergne-Rhône-Alpes, France",Treban,Auvergne-Rhône-Alpes,France,2024-11-15,47.4,37.3,42.2,43.5,37.3,40.2,38.5,87.2,0,0,0,,0,0,15.4,8.3,67.6,1025.6,68.1,10.1,82.5,7.2,4,10,2024-11-15 07:49:29,2024-11-15 17:14:02,9.4,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LFLC,LFQG,LFLV,LFLN"
"Digne-les-Bains, Provence-Alpes-Côte d'Azur, France",Digne-les-Bains,Provence-Alpes-Côte d'Azur,France,2024-11-15,52.8,33.7,41.8,52.8,33.7,41.2,35.3,79.9,0,0,0,,0,0,12.8,4.9,110.7,1023.5,2.5,11,113.8,9.7,5,10,2024-11-15 07:30:48,2024-11-15 17:08:15,9.6,0.5,Clear,Clear conditions throughout the day.,clear-day,"E5975,LFMC,remote"
"Saint-Jean-Saint-Nicolas, Provence-Alpes-Côte d'Azur, France",Saint-Jean-Saint-Nicolas,Provence-Alpes-Côte d'Azur,France,2024-11-15,46.1,33.9,39.4,46.1,30.6,37.5,22.1,50.2,0,0,0,,0,0.1,10.5,5.1,46.9,1022.6,0,15,113.4,9.7,5,10,2024-11-15 07:32:22,2024-11-15 17:06:44,9.6,0.5,Clear,Clear conditions throughout the day.,clear-day,remote
"Massoins, Provence-Alpes-Côte d'Azur, France",Massoins,Provence-Alpes-Côte d'Azur,France,2024-11-15,56.2,38,46.9,56.2,34.4,44.9,37.1,70,0,0,0,,0,0.1,7.8,9.4,328.3,1022.8,4.8,10.5,113,9.7,5,10,2024-11-15 07:26:50,2024-11-15 17:05:06,9.6,0.5,Clear,Clear conditions throughout the day.,clear-day,"E5975,LFMD,LIMG,LFMN,LIMZ,LIMY"
"Saint-Joseph-des-Bancs, Auvergne-Rhône-Alpes, France",Saint-Joseph-des-Bancs,Auvergne-Rhône-Alpes,France,2024-11-15,51.9,38.6,44.3,51.9,35.4,41,37.6,77.8,0,0,0,,0,0,16.3,13.9,11.8,1024.2,17.4,10.6,105.5,9,4,10,2024-11-15 07:39:50,2024-11-15 17:13:48,9.6,0.5,Clear,Clear conditions throughout the day.,clear-day,"LFHP,LFMO"
"Mazerny, Grand Est, France",Mazerny,Grand Est,France,2024-11-15,49.5,42.5,45.4,48.6,42.5,45.1,40.6,83.6,0,0,0,,0,0,10.1,3.8,56,1027,84,10.5,71.1,6,3,10,2024-11-15 07:53:43,2024-11-15 16:58:15,9.1,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F0693,EBFS,remote,F8085"
"Brassac, Occitanie, France",Brassac,Occitanie,France,2024-11-15,51.7,31.6,41.5,51.7,31.6,40.2,35.7,81.3,0,0,0,,0,0,21.3,9.5,113.2,1023.3,22.9,9.7,84.6,7.4,5,10,2024-11-15 07:44:32,2024-11-15 17:24:24,9.7,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"LFMU,C4848,E4692,D5042,LFMK"
"Villechétif, Grand Est, France",Villechétif,Grand Est,France,2024-11-15,51,42.9,46.8,51,41.2,46.3,43.6,89,0.004,100,4.17,rain,0,0,7.6,4.8,6.9,1026.5,88.1,9.2,71.9,6.1,4,10,2024-11-15 07:51:21,2024-11-15 17:04:21,9.2,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"LFSI,LFOK,LFQB,E8061"
"Ladern-sur-Lauquet, Occitanie, France",Ladern-sur-Lauquet,Occitanie,France,2024-11-15,54.8,30.8,42.8,54.8,29.9,41.9,38.6,86.4,0,0,0,,0,0,23.9,11.2,115.3,1023,50.3,9.3,86.3,7.5,5,10,2024-11-15 07:43:45,2024-11-15 17:26:22,9.7,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"C4848,E4692,D5042,LFMK,LFMP"
